ID,Partner.Country,Reporting.Country,Product,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
16,Cameroon,South Africa,Glue,262.4,262.6,261.2,263.4,263,257.2,270.2,261.4,240,309.4,234.8,176,517.2,11,0,143.2,141.6,226.8,49.2,251.4,175,24,0,0,10.4,0
17,Cameroon,Egypt,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0
18,Chad,South Africa,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,16,0,0,0,0,0
19,Chad,South Africa,Giant Rubber Band,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.2,2.2,1.6,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0
20,Comoros,South Africa,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,8,0,0
21,Comoros,South Africa,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Congo,South Africa,Smoke Screen Bomb,130,130,130.4,129.6,129.8,132,127,130.6,138.4,111.6,141.6,162.2,31.2,231.6,223.8,72.6,49.6,370.8,1103,125.4,91.8,179.6,151.6,79.8,62.4,65
23,Congo,South Africa,Giant Rubber Band,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.4,12.8,13.6,13.6,11.2,15.8,14,4,0,0,10732,29.8,30.8,0,0,10,0,0,0
24,Congo,South Africa,Glue,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3,3.2,3.2,2.8,4,2.8,1.6,0,0.4,0,52.6,38.4,5,2.4,40,40,0,5
25,Congo,Morocco,Giant Rubber Band,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.6,0.4,0.4,1,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0
26,Congo,Kenya,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
27,Cote d Ivoire,South Africa,Smoke Screen Bomb,141,140.8,141.6,140.6,139.8,144.4,137.8,137.4,157.8,118.4,135.8,219.2,0,188.2,469.4,793.2,544.8,937,921.8,1066.2,649.4,416.6,307,131.6,251.6,3.8
28,Cote d Ivoire,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,5,0,0
29,Cote d Ivoire,South Africa,Glue,140.8,140.8,140,141.4,141,137.8,145,140,128.4,166.6,125,93.8,281.2,0,0,0,81.6,128.2,45.8,116.6,85.2,10,210,0,122.4,14.8
30,Cote d Ivoire,Morocco,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Cote d Ivoire,Morocco,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,13.2,0
32,Cote d Ivoire,Ghana,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Egypt,South Africa,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,501,867.6,415.6,239,0,0,0,0,0,0
34,Egypt,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
35,Egypt,South Africa,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.2,172.4,0,0,0,0,0,0,0,0
36,Egypt,Morocco,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,15.6,30.8,18.4,0,0,0
37,Ethiopia,South Africa,Smoke Screen Bomb,21.4,21.4,21.4,21.4,21.2,21.8,20.8,21,23.8,17.8,21,32.6,0,30.4,67.6,84.6,59.8,185,419.2,407,91.6,111.6,44,7.2,6,13.6
38,Ethiopia,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
39,Ethiopia,Kenya,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Ethiopia,Egypt,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0
41,Ethiopia,Egypt,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6,0,0,0,0
42,Gabon,South Africa,Smoke Screen Bomb,8.8,8.8,8.8,8.8,8.6,9,8.6,8.4,10,7.6,7.4,15.2,0,7.4,38.2,57,71.8,129.8,328.8,118.6,95.8,213.6,163.4,252,195.8,88
43,Gabon,Morocco,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0
44,Gabon,Morocco,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Gambia,South Africa,Smoke Screen Bomb,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.4,1.2,0,0,3.8,3.8,11.8,31.8,62.6,63.6,27.6,8,8,8,4,4
46,Gambia,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0
47,Gambia,Senegal,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0.6,0,0,0,0,0,0,0,0
48,Gambia,Senegal,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0
49,Gambia,Senegal,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.8,0,0,0,0,2,0
50,Gambia,Kenya,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0
51,Ghana,South Africa,Smoke Screen Bomb,157.8,157.4,158.4,157.6,156.2,161.2,155,152.6,176,136.6,145,246.6,18.6,169.8,551.4,479.8,568.4,293.8,981,420.4,320.6,193,470.4,354.6,78.2,248.6
52,Ghana,South Africa,Giant Rubber Band,31.2,31.2,31,31.4,31.2,30.6,32.2,31,28.6,37,27.8,20.8,62.4,0,0,0,6,0,0,191.2,0,0,0,0,0,0
53,Ghana,South Africa,Glue,109.4,109.6,109.6,109,110,109.8,107,113,109.6,98.6,131,98.8,66.2,227.8,2.6,16,100,130.2,26.6,198.8,185,170.6,37.6,5.6,327.4,91.8
54,Ghana,Cote d'Ivoire,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,54.8
55,Guinea,South Africa,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2,0,4.8,38,0,0,0,0,4,0,0
56,Guinea,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Guinea,Senegal,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,5.2,0.2,0
58,Guinea,Senegal,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0
59,Guinea,Senegal,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,1.6,0,6.6,0
60,Guinea,Morocco,Glue,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.4,1.2,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0
61,Kenya,South Africa,Smoke Screen Bomb,110.4,110,110.8,110.4,109,113.2,109.2,104.6,125.8,97.2,90.6,189.6,11,71.4,486.4,583,1023.4,1352.2,3132.4,2153.6,1664,1464.4,1864.6,534.2,1235.4,129.8
62,Kenya,South Africa,Giant Rubber Band,29.4,29.6,29.4,29.4,29.6,29.4,29.4,30,28.4,29.8,31.8,23.8,34,37.4,0,8,9.4,0,11.4,105.8,5.2,0,0,0,14.8,0
63,Kenya,South Africa,Glue,31,31,31,31.2,31.2,30.6,32,30.8,28.8,36,27.6,23,57.6,2.2,9,11.4,262.4,819,439,44.6,678.4,82.6,68.8,47.4,147.6,119.6
64,Kenya,Egypt,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.4,34,22.4,15.2
65,Kenya,Egypt,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
66,Kenya,Egypt,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.4,20.8,105,431.4,542.2,663.2,492.2,396.2
67,Lesotho,South Africa,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,27.2,23.4
68,Lesotho,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,29.8,5.2
69,Lesotho,South Africa,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,35.6,6.4
70,Liberia,South Africa,Smoke Screen Bomb,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.4,1.2,0,0,3.8,3.8,7.8,0,54.2,51.8,32,16,8,4,4,0
71,Liberia,Senegal,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0
72,Libya,South Africa,Smoke Screen Bomb,11,11,11.2,11,10.8,11.4,11,10.2,13.2,9.8,7.4,22.2,0,0,66.4,38.8,85.6,0,0,0,0,0,0,0,0,0
73,Libya,Egypt,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,26.8,40.8,14,57.6,29,0,0
74,Libya,Egypt,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1.6,0.4,0,0
75,Libya,Egypt,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.6,85.4,386.8,55.8,181.8,295.4,220.8,46.6
76,Madagascar,South Africa,Smoke Screen Bomb,47.8,47.6,48,47.8,47.4,49,46.8,46.2,53.8,40.4,44.4,76.8,0,56,174.6,499,351.6,459.2,869.8,473.8,351.8,313.4,283.6,201.8,140.8,160.2
77,Madagascar,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,33.6,0,14.2,0,0,0,0,0,0,0
78,Madagascar,South Africa,Glue,4.4,4.4,4.4,4.2,4.2,4.4,4.2,4.2,4.8,3.6,4.6,6,0,7.8,10.2,9.2,3.2,19.2,0,0,4.2,4.4,0,2.6,8,0
79,Mali,South Africa,Smoke Screen Bomb,2,2,2,2,2,2,2,1.8,2.4,1.8,1.2,3.8,0,0,11.6,61.4,19.6,35.4,7.6,182.6,131,87.8,0,8,0,8
80,Mali,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Mali,South Africa,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,180.6,0,0,0,0,0,0,40,29
82,Mali,Senegal,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0
83,Mali,Senegal,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,2.4,0,0,0,0,0,0,0
84,Mali,Senegal,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,11.8,0,8.2
85,Mali,Morocco,Giant Rubber Band,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2,1.4,2.2,2,0,4.8,25.4,17.4,19,15.8,0,0,0,0,60,0,0
86,Mali,Morocco,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,17.4,25.4,0,0,0,0,0
87,Mauritania,South Africa,Smoke Screen Bomb,3.8,3.8,3.8,3.8,3.8,4,3.8,3.6,4.6,3.4,2.6,7.6,0,0,23,0,7.8,0,34.2,0,0,0,0,0,0,0
88,Mauritania,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Mauritania,Senegal,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,2.8,0
90,Mauritania,Senegal,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3
91,Mauritania,Senegal,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,11,0,0,10.2,0,2.6
92,Mauritania,Morocco,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.2,0,0,0,0,0,0,8.2,12
93,Mauritania,Morocco,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8
94,Mauritania,Egypt,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,12
95,Mauritius,South Africa,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,113.8,138.6,278.6,381.4,215.6,99.6,87.8,83.2,44,26.6
96,Mauritius,South Africa,Giant Rubber Band,1.8,1.8,1.8,1.8,1.8,2,1.8,2,2,1.6,2.4,1.8,0.6,4.8,0.2,0.6,0.6,0.6,0.4,0.4,0.6,0.2,0.8,0,0,0
97,Mauritius,South Africa,Glue,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3,3,2.4,3.6,2.6,1.2,6.8,0,4.4,0,5.6,0,42.8,20,36.6,133.6,77.6,126.8,93.2
98,Mayotte,South Africa,Smoke Screen Bomb,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.4,1.2,0,0,3.8,15.2,27.2,56,66.2,91.8,59.8,16,4,4,20,4
99,Morocco,South Africa,Smoke Screen Bomb,76.8,76.8,77.2,76.6,76.4,78.4,75.2,75.8,84.4,65.2,77.6,110.8,7.2,114.6,210.4,7.8,0,0,4,0,0,0,0,0,0,0
100,Morocco,South Africa,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.8,0,0,0,0,0,0,0,0,0
101,Morocco,Egypt,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,8.2,0,5.2,0,8.2,0
102,Morocco,Egypt,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0
103,Morocco,Egypt,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.8,108.8,116,77.6,164,176.8,224.2,1.6
104,Morocco,Algeria,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
105,Mozambique,South Africa,Smoke Screen Bomb,131.8,131.6,132.2,131.6,130.8,134,130.4,128,143.4,119.6,121.2,189.2,48.4,126,393.6,496.6,675.4,666,939.8,1432.8,1019.8,996.6,1260,1189.6,1181.6,959.2
106,Mozambique,South Africa,Giant Rubber Band,89,89,89,89,89,88.8,89,89.2,88.4,89.2,90,86.4,91,92.8,75.4,9.2,56.2,40,223.2,108.8,37.8,14.4,31,19,45.4,31.2
107,Mozambique,South Africa,Glue,55.2,55.2,55,55.4,55.2,54.2,56.6,54.8,51.4,63.8,49,41.2,101.4,4.8,17.4,4.6,9.2,28.6,13,5,11,45,5.8,1.6,5.6,1
108,Namibia,South Africa,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,23.4,40.8,48.4
109,Namibia,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,18
110,Namibia,South Africa,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,19.4
111,Niger,South Africa,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,0,0,0,24,8,0,0,24,0
112,Niger,South Africa,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
113,Niger,Senegal,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Nigeria,South Africa,Smoke Screen Bomb,344.6,343.8,346,344,341.4,352.8,337.6,333.8,386.8,292.2,322.2,545.8,8.8,412,1216.8,2069.6,1978.6,3513.4,8185.2,4233,3895,2409.8,1801.6,2056.8,1915.6,395.2
115,Nigeria,South Africa,Giant Rubber Band,66.2,66.2,66,66.2,66.4,65.4,67,66.6,62.6,71.6,65.8,50.4,98.2,49,4,0.2,164.8,611.8,164.8,325.6,541.8,0,0,0,0,0
116,Nigeria,South Africa,Glue,40.2,40.4,40.4,40.2,40.6,40.6,39.2,41.8,40.6,35.6,49,37.2,20.2,89.6,2,28.4,732.8,660.8,178,786.4,1292.6,643.8,311,192.6,618.2,193.6
117,Nigeria,Ghana,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Nigeria,Egypt,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0
119,Reunion,South Africa,Smoke Screen Bomb,4,4,4,4,4,4,3.8,4,4.4,3.2,4,5.8,0,6.4,10.8,33.8,15.2,118.4,313.4,191,75.4,55.8,63.8,112.8,108,100
120,Reunion,South Africa,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
121,Senegal,South Africa,Smoke Screen Bomb,30.6,30.6,30.8,30.6,30.4,31.4,30,29.6,34.4,25.8,28.6,49,0,36.8,110,157.8,152.8,135.8,357.6,162.8,83.8,28,48,32,36,0
122,Senegal,South Africa,Giant Rubber Band,6.6,6.6,6.6,6.6,6.6,6.4,6.8,6.6,6.2,7.4,6.4,4.8,10.8,3.6,0,0,0,0,0,0,0,0,0,0,0,0
123,Senegal,South Africa,Glue,4.4,4.4,4.4,4.4,4.4,4.4,4.6,4.4,4,5.2,4,3,8.8,0,0,2.8,40.2,0,9.4,6,31,31.2,30,0,0,0
124,Senegal,Morocco,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,24.2,0,0
125,Senegal,Morocco,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,0,0,2,0,0,0,0,0,0.2
126,Senegal,Morocco,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6,20.4,2.6,7,9.4,0,0,0,0
127,Senegal,Egypt,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,4,0,0,0,0,4.2,0
128,Sierra Leone,South Africa,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,4,18.8,30.6,32,24,12,28,0,0,4
129,Sierra Leone,Ghana,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0
130,Somalia,South Africa,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,52.8,7.6,74.8,16,52,4,16
131,Somalia,Kenya,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0
132,Somalia,Kenya,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
133,Somalia,Kenya,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.6,0
134,Somalia,Egypt,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0
135,Somalia,Egypt,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,4.2
136,South Africa,Ghana,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,South Sudan,Kenya,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2
138,South Sudan,Kenya,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,1.6
139,South Sudan,Kenya,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2
140,Sudan,South Africa,Smoke Screen Bomb,3.2,3.2,3.2,3.2,3.2,3.2,3.2,2.8,3.8,2.8,2.2,6.4,0,0,19,42.2,55,8,0,0,0,0,4,0,0,0
141,Sudan,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8,0,0,0,0,0,0,0,0,0
142,Sudan,South Africa,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0,0,0,0,0,24.4
143,Sudan,Kenya,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Sudan,Kenya,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.6,0,2.2,0.2,0,0,0,0
145,Sudan,Kenya,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.8,0,0,0,0
146,Sudan,Egypt,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,49.6
147,Sudan,Egypt,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,6.8,5,0,19.8,0,0,0
148,Sudan,Egypt,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,7.6,47.2,115,14.8,22.8,2.4,22.4
149,Tanzania,South Africa,Smoke Screen Bomb,136,135.6,136.4,135.8,134.8,139,133.6,131.8,151.4,117.8,126.2,210,17.4,151,462,748.2,764.2,1137.2,1745.4,2270.6,1902.4,1866.8,2226.4,2109,2430.4,2079.2
150,Tanzania,South Africa,Giant Rubber Band,41.2,41.2,41.2,41.2,41.2,40.8,41.8,41.2,39.2,45,39.4,33.6,62,22.4,16.4,56,63.8,210,386.8,251.8,20.6,8,30.6,51.6,18,14.2
151,Tanzania,South Africa,Glue,42.4,42.4,42.4,42.2,42.4,42.2,42.2,43,41.4,42.2,45.8,36.2,44.4,56.8,7.4,23.8,166.6,278,518.8,152,660,348.2,654.4,612.6,678.2,125.6
152,Tanzania,Kenya,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0,0,0
153,Tanzania,Kenya,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0.2,3.8,1.2,9.2,10.6,5.2,2.2,3.2
154,Tanzania,Kenya,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6,18.6,58.8,41.4,3,23.4,0,0,0,0
155,Tanzania,Egypt,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0
156,Togo,South Africa,Smoke Screen Bomb,18.2,18.2,18.4,18.2,18,18.6,17.8,17.6,20.6,15.6,16.4,30.2,0,18.8,72,103.2,171.6,302.2,784.8,158.8,63.8,99.8,236.4,195.4,68,0
157,Togo,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,7.4,0,0,0,0,0,0,0,0
158,Togo,South Africa,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,15
